,CARRIER,CARRIER_NAME,CNAME
371,AVZ,Southern Jersey Airways (1960 - 2002),Southern Jersey Airways   
372,AWA,Air West Airlines (1992 - 2002),Air West Airlines   
373,AWQ,Aermediterranea S.P.A. (1984 - 1989),Aermediterranea S.P.A.   
374,AX,Trans States Airlines (2002 - ),Trans States Airlines   
375,AXQ,Aeron International Airlines Inc. (1983 - 1989),Aeron International Airlines Inc.   
376,AY,Finnair Oy (1981 - ),Finnair Oy   
377,AYQ,Aerodan S.A. De C.V. (2005 - ),Aerodan S.A. De C.V.   
378,AZ,Compagnia Aerea Italiana (2009 - ),Compagnia Aerea Italiana   
379,AZ,Alitalia-Linee Aeree Italia (1981 - 2008),AlitaliaLinee Aeree Italia   
380,AZE,Arizona Express (2002 - 2004),Arizona Express   
381,AZP,Arizona Pacific Airways (1991 - 2002),Arizona Pacific Airways   
382,AZQ,Anglo Airlines Ltd. (1986 - 1992),Anglo Airlines Ltd.   
383,B0,Dreamjet SAS Dba La Compagnie (2014 - ),Dreamjet SAS Dba La Compagnie   
384,B6,JetBlue Airways (2000 - ),JetBlue Airways   
385,B8,Caribbean Airline Company (1994 - 1994),Caribbean Airline Company   
386,BA,British Airways Plc (1981 - ),British Airways Plc   
387,BAA,Aero International Airlines (1981 - 2002),Aero International Airlines   
388,BAC,Business Aircraft Corp. (1960 - 2002),Business Aircraft Corp.   
389,BAH,Brennan & Hargreaves Inc. (1960 - 2002),Brennan  Hargreaves Inc.   
390,BAK,Bankair Inc. (1960 - 2002),Bankair Inc.   
391,BAN,Bangor International Air (1987 - 2002),Bangor International Air   
392,BAQ,Aero Rentas De Coahuila S.A. De C.V. (2005 - ),Aero Rentas De Coahuila S.A. De C.V.   
393,BAR,Bard-Air Corp. (1960 - 2002),BardAir Corp.   
394,BAT,West Penn Commuter (1985 - 2002),West Penn Commuter   
395,BAY,Burlington Aeroplane Co. (1982 - 2002),Burlington Aeroplane Co.   
396,BBQ,Balair Ag (1981 - 2001),Balair Ag   
397,BC,Skymark Airlines Inc. (2010 - ),Skymark Airlines Inc.   
398,BCA,Baja Cortez Airlines (1960 - 2002),Baja Cortez Airlines   
399,BCQ,Bradley Air Services Ltd. (1988 - ),Bradley Air Services Ltd.   
400,BD,British Midland Airways Ltd. (1981 - ),British Midland Airways Ltd.   
401,BDE,Jet Express (1985 - 2002),Jet Express   
402,BDQ,Aerotaxis De Aguascalientes S.A. De C.V. (2005 - ),Aerotaxis De Aguascalientes S.A. De C.V.   
403,BE,Braniff International Airlines Inc. (1991 - 1992),Braniff International Airlines Inc.   
404,BEA,Business Express Airlines (1985 - 2000),Business Express Airlines   
405,BEL,Bellair Inc. (1960 - 2003),Bellair Inc.   
406,BEN,Bennington Aviation Inc. (1960 - 2002),Bennington Aviation Inc.   
407,BEQ,Air Belgium (1990 - 1992),Air Belgium   
408,BER,Bering Air Inc. (1985 - 2003),Bering Air Inc.   
409,BES,Aeroservices Executive (2002 - ),Aeroservices Executive   
410,BEY,Beyer Aviation (1960 - 2002),Beyer Aviation   
411,BF,Markair Inc. (1984 - 1995),Markair Inc.   
412,BF,Alaska International Air (1980 - 1984),Alaska International Air   
413,BFG,Million Air (1986 - 2002),Million Air   
414,BFQ,Buffalo Airways Inc. (1984 - 1996),Buffalo Airways Inc.   
415,BG,Biman Bangladesh Airlines (1993 - ),Biman Bangladesh Airlines   
416,BGQ,Airbus Transport Internat'l (1998 - ),Airbus Transport Internatl   
417,BHK,Blackhawk Airways Inc. (1960 - 2002),Blackhawk Airways Inc.   
418,BHO,Bighorn Airways Inc. (1960 - 2002),Bighorn Airways Inc.   
419,BHQ,Turks Air Ltd. (1981 - 1989),Turks Air Ltd.   
420,BIA,Big Island Air (1985 - 2002),Big Island Air   
421,BIQ,Servicios Aeronauticos Z S.A. De C.V. (2005 - ),Servicios Aeronauticos Z S.A. De C.V.   
422,BIR,Birchwood Air Service (1960 - 2002),Birchwood Air Service   
423,BJQ,Taxirey S.A. De C.V. (2005 - ),Taxirey S.A. De C.V.   
424,BKR,Baker Aviation Inc. (1984 - 2003),Baker Aviation Inc.   
425,BLQ,Air Bvi Limited (1981 - 1989),Air Bvi Limited   
426,BM,Belize Air International Ltd. (1987 - 1994),Belize Air International Ltd.   
427,BMJ,Bemidji Airlines (1981 - 2005),Bemidji Airlines   
428,BMT,Bremerton Aviation Inc. (1960 - 2002),Bremerton Aviation Inc.   
429,BN,Braniff Inc. (1984 - 1989),Braniff Inc.   
430,BN,Britannia Airways GmbH (1998 - 1999),Britannia Airways GmbH   
431,BNQ,NetJets Large Aircraft Company L.L.C. (2004 - 2010),NetJets Large Aircraft Company L.L.C.   
432,BNQ,BNJ Charter Company (2002 - 2004),BNJ Charter Company   
433,BOA,Boise Air Service (1960 - 2002),Boise Air Service   
434,BOI,Bo-S-Aire Airlines Inc. (1981 - 1986),BoSAire Airlines Inc.   
435,BOQ,Transp. Aereos Bolivianos (1981 - 1993),Transp. Aereos Bolivianos   
436,BQ,Aeromar C. Por A. (1995 - 2000),Aeromar C. Por A.   
437,BR,Eva Airways Corporation (1992 - ),Eva Airways Corporation   
438,BR,Cal Air International Ltd. (1981 - 1992),Cal Air International Ltd.   
439,BRK,Barken International (1985 - 2002),Barken International   
440,BRO,Brower Airways Inc. (1960 - 2002),Brower Airways Inc.   
441,BRQ,Jmc (2000 - 2003),Jmc   
442,BRQ,Thomas Cook Airlines Uk Ltd. (2003 - 2008),Thomas Cook Airlines Uk Ltd.   
443,BRQ,Caledonian Airways (1988 - 2000),Caledonian Airways   
444,BRT,Continental Express (1987 - 1994),Continental Express   
445,BRT,Britt Airways Inc. (1960 - 1980),Britt Airways Inc.   
446,BRW,Barrow Air (1985 - 1993),Barrow Air   
447,BSA,Big Sky Airlines Inc. (1960 - 2005),Big Sky Airlines Inc.   
448,BTQ,Brasair Transportes Aereos (1995 - 1998),Brasair Transportes Aereos   
449,BUH,Business Helicopters (1993 - 2002),Business Helicopters   
450,BUQ,Wrangler Aviation Inc. (1990 - 1993),Wrangler Aviation Inc.   
451,BUQ,Blue Bell Inc. (1983 - 1984),Blue Bell Inc.   
452,BUR,Burlington Airways Inc. (1960 - 2002),Burlington Airways Inc.   
453,BW,British West Indian Airways (1981 - 2006),British West Indian Airways   
454,BW,Caribbean Airlines Limited (2007 - ),Caribbean Airlines Limited   
455,BX,Air Busan (2015 - ),Air Busan   
456,BXQ,Spantax S. A. (1981 - 1989),Spantax S. A.   
457,BY,Britannia Airways Ltd. (1989 - ),Britannia Airways Ltd.   
458,BYA,Bay Air (1985 - 1987),Bay Air   
459,BZQ,"Abaco Air, Ltd. (2005 - 2013)","Abaco Air, Ltd.   "
460,C2,Challenge Air Cargo Inc. (1986 - 2001),Challenge Air Cargo Inc.   
461,C5,"Commutair Aka Champlain Enterprises, Inc. (2005 - )","Commutair Aka Champlain Enterprises, Inc.   "
462,C6,Canjet Airlines (2004 - ),Canjet Airlines   
463,C8,Chicago Express Airlines (2000 - 2005),Chicago Express Airlines   
464,C8,Cargolux Italia SpA (2013 - ),Cargolux Italia SpA   
465,CA,Air China (1981 - ),Air China   
466,CAC,Coleman Air Transport (1960 - 2002),Coleman Air Transport   
467,CAF,California Seaboard (1985 - 2002),California Seaboard   
468,CAI,Crawford Aviation Inc. (1960 - 2002),Crawford Aviation Inc.   
469,CAM,C & M Airlines (1960 - 2002),C  M Airlines   
470,CAP,Metro Air Northeast N Y (1960 - 2002),Metro Air Northeast N Y   
471,CAQ,Challenge Air Luftverkehrs GmbH (2005 - ),Challenge Air Luftverkehrs GmbH   
472,CAT,Catalina Airlines Inc. (1960 - 2002),Catalina Airlines Inc.   
473,CAV,Air Virginia (1960 - 2002),Air Virginia   
474,CAZ,CAT Aviation (2007 - ),CAT Aviation   
475,CB,Air One Inc. (1983 - 1984),Air One Inc.   
476,CBA,Carriba Air Inc. (1960 - 2002),Carriba Air Inc.   
477,CC,Air Atlanta Icelandic (1997 - ),Air Atlanta Icelandic   
478,CC,Air Atlanta Inc. (1984 - 1987),Air Atlanta Inc.   
479,CCA,Cityhop (1985 - 2002),Cityhop   
480,CCD,Cascade Airways Inc. (1960 - 1980),Cascade Airways Inc.   
481,CCO,Chester County Aviation (1987 - 2002),Chester County Aviation   
482,CCQ,Capital Cargo International (1996 - 2004),Capital Cargo International   
483,CDQ,Connie Kalitta Services (1989 - 1991),Connie Kalitta Services   
484,CDQ,American International Airways Inc. (1991 - 1999),American International Airways Inc.   
485,CDQ,Kitty Hawk International (1999 - 2002),Kitty Hawk International   
486,CEA,Corporate Airlines (1997 - 2002),Corporate Airlines   
487,CEN,Cen-Tex Airlines Inc. (1960 - 2002),CenTex Airlines Inc.   
488,CEQ,All Canada Express (2002 - 2005),All Canada Express   
489,CET,Century Airlines (Cal) (1960 - 2002),Century Airlines Cal   
490,CF,Compan. De Aviacion Faucett (1981 - 1998),Compan. De Aviacion Faucett   
491,CGA,Chicago Airlines (1986 - 2002),Chicago Airlines   
492,CGE,Chicago Express Airlines (1993 - 2000),Chicago Express Airlines   
493,CGL,Viking International Airlines Inc. (1981 - 1996),Viking International Airlines Inc.   
494,CGO,Chicago Air Taxi (1991 - 2002),Chicago Air Taxi   
495,CGQ,Aerochago S.A. (1985 - 1993),Aerochago S.A.   
496,CH,Bemidji Airlines (2006 - ),Bemidji Airlines   
497,CHA,Chautauqua Airlines Inc. (1960 - 2004),Chautauqua Airlines Inc.   
498,CHD,Chandler Flyer (1960 - 2002),Chandler Flyer   
499,CHE,Charter Airlines (1960 - 2002),Charter Airlines   
500,CHF,Hammonds Commuter Air Serv. (1960 - 2002),Hammonds Commuter Air Serv.   
501,CHI,Chitina Air Service (1960 - 1986),Chitina Air Service   
502,CHL,Channel Flying Inc. (1960 - 1990),Channel Flying Inc.   
503,CHO,Choi Aviation Inc. (1960 - 2002),Choi Aviation Inc.   
504,CHS,Christman Air System (1960 - 2002),Christman Air System   
505,CHT,Charter One (1990 - 2002),Charter One   
506,CI,China Airlines Ltd. (1981 - ),China Airlines Ltd.   
507,CIQ,A/S Conair (1982 - 1994),AS Conair   
508,CIS,Cal Sierra Airlines (1960 - 2002),Cal Sierra Airlines   
509,CJ,Colgan Airways Inc. (1981 - 1983),Colgan Airways Inc.   
510,CJQ,Air Caribbean (1981 - 1996),Air Caribbean   
511,CK,China Cargo Airline (2003 - ),China Cargo Airline   
512,CKI,Inlet Airlines (1960 - 1991),Inlet Airlines   
513,CL,Capitol International Inc. (1960 - 1984),Capitol International Inc.   
514,CLB,Columbia Pacific Airlines (1989 - 2002),Columbia Pacific Airlines   
515,CLD,Hawaii Pacific Helicopters (1985 - 2002),Hawaii Pacific Helicopters   
516,CLF,California Air Shuttle (1990 - 2002),California Air Shuttle   
517,CLQ,Aero Transcolombiana (1993 - 2000),Aero Transcolombiana   
518,CM,Compania Panamena (Copa) (1986 - ),Compania Panamena Copa   
519,CMB,Combs Airways Inc. (1981 - 1986),Combs Airways Inc.   
520,CMD,Command Airways Inc. (1960 - 1991),Command Airways Inc.   
521,CMI,Comair Inc. (1960 - 2000),Comair Inc.   
522,CMQ,Servicio De Carga Aerea Sa (1983 - 1989),Servicio De Carga Aerea Sa   
523,CMR,Commuter Airlines (Ca) (1985 - 2002),Commuter Airlines Ca   
524,CMT,"Commutair Aka Champlain Enterprises, Inc. (1989 - 2005)","Commutair Aka Champlain Enterprises, Inc.   "
525,CNN,Centennial Airlines (1960 - 2002),Centennial Airlines   
526,CO,Continental Air Lines Inc. (1960 - 2011),Continental Air Lines Inc.   
527,COB,Cotton Belt Aviation Inc. (1960 - 2002),Cotton Belt Aviation Inc.   
528,COC,Cochise Airlines Inc. (1960 - 1984),Cochise Airlines Inc.   
529,COK,Coker Aviation Inc. (1960 - 2002),Coker Aviation Inc.   
530,COL,Presidential Express (1960 - 1988),Presidential Express   
531,COM,Commutair (1960 - 2002),Commutair   
532,COR,Coral Air Inc. (1960 - 2002),Coral Air Inc.   
533,COS,Cosmopolitan Comm. Airline (1960 - 2002),Cosmopolitan Comm. Airline   
534,COT,Southeastern Commuter (1960 - 2002),Southeastern Commuter   
535,COU,Courtesy Air Service Inc. (1960 - 2002),Courtesy Air Service Inc.   
536,CP,Compass Airlines (2007 - ),Compass Airlines   
537,CP,Canadian Airlines International Ltd. (1981 - 2001),Canadian Airlines International Ltd.   
538,CPA,Capitol Air Lines (1960 - 2002),Capitol Air Lines   
539,CPC,Coastal Plains Commuter Inc. (1960 - 2002),Coastal Plains Commuter Inc.   
540,CPE,Cape Air (1989 - 2002),Cape Air   
541,CPQ,Capitol Air Express Inc. (1993 - 1994),Capitol Air Express Inc.   
542,CPT,Capitol Air (1994 - 2002),Capitol Air   
543,CQI,Conquest Airline Corp. (1990 - 1996),Conquest Airline Corp.   
544,CRA,Commuter Airlines (1960 - 2002),Commuter Airlines   
545,CRB,Caribair (1994 - 2002),Caribair   
546,CRE,Caribbean Express Inc. (1983 - 2002),Caribbean Express Inc.   
547,CRH,Cresent Medivac (1985 - 2002),Cresent Medivac   
548,CRN,Crown Aviaiton Inc. (1960 - 2002),Crown Aviaiton Inc.   
549,CRO,Crown Airways Inc. (1960 - 2002),Crown Airways Inc.   
550,CRP,Corporate Air (1990 - 2002),Corporate Air   
551,CRQ,Conner Air Lines Inc. (1987 - 1989),Conner Air Lines Inc.   
552,CRT,Crested Butte Air Service (1960 - 2002),Crested Butte Air Service   
553,CRV,Acropolis Aviation Ltd. (2010 - ),Acropolis Aviation Ltd.   
554,CS,Continental Micronesia (1993 - 2010),Continental Micronesia   
555,CSA,Casino Airlines (2000 - 2002),Casino Airlines   
556,CSK,Catskill Airways Inc. (1960 - 2002),Catskill Airways Inc.   
557,CSL,Central States Air Lines (1989 - 2002),Central States Air Lines   
558,CSM,Chisum Flying Service (1985 - 1986),Chisum Flying Service   
559,CSN,Casino Airlines (1997 - 1999),Casino Airlines   
560,CSQ,Celtic Tech Jet Ltd. (2005 - ),Celtic Tech Jet Ltd.   
561,CSY,Cape Smythe Air Service (1960 - 2003),Cape Smythe Air Service   
562,CTA,Century Airlines (1960 - 2002),Century Airlines   
563,CTH,Cothron Aviation (1960 - 2002),Cothron Aviation   
564,CTL,Coastal Air Transport (1985 - 2002),Coastal Air Transport   
565,CTQ,Custom Air Transport (1995 - 2007),Custom Air Transport   
566,CTR,Chartair (1988 - 2002),Chartair   
567,CUQ,Caicos Caribbean Airways (1985 - 1996),Caicos Caribbean Airways   
568,CUS,Custom Air Service (1988 - 2002),Custom Air Service   
569,CV,Cargolux Airlines International S.A (1981 - ),Cargolux Airlines International S.A   
570,CVA,Catalina-Vegas Airlines (1960 - 2002),CatalinaVegas Airlines   
571,CVQ,Caraven S.A. (1991 - 1998),Caraven S.A.   
572,CW,Air Marshall Islands Inc. (1990 - 1996),Air Marshall Islands Inc.   
573,CWQ,Canadian Aviation Express (1989 - 1989),Canadian Aviation Express   
574,CX,Cathay Pacific Airways Ltd. (1986 - ),Cathay Pacific Airways Ltd.   
575,CXQ,Casino Express (1989 - 1991),Casino Express   
576,CYQ,Corse Air International (1988 - ),Corse Air International   
577,CZ,Cascade Airways Inc. (1980 - 1985),Cascade Airways Inc.   
578,CZ,China Southern Airlines (1997 - ),China Southern Airlines   
579,CZQ,Aviation Concepts (2004 - 2008),Aviation Concepts   
580,D7,Air Asia X Berhad dba Airasia X (2015 - ),Air Asia X Berhad dba Airasia X   
581,DA,Dan Air Services (1981 - 1989),Dan Air Services   
582,DAN,Danbury Airlines (1960 - 2002),Danbury Airlines   
583,DAU,Dauphin Island Airways (1980 - 2002),Dauphin Island Airways   
584,DC,Caribbean Air Cargo Co Ltd. (1985 - 1992),Caribbean Air Cargo Co Ltd.   
585,DE,Condor Flugdienst (1997 - ),Condor Flugdienst   
586,DEA,Downeast Airlines Inc. (1960 - 2002),Downeast Airlines Inc.   
587,DEC,Decatur Aviation (1960 - 2002),Decatur Aviation   
588,DFQ,Condor Flugdienst (1981 - 1997),Condor Flugdienst   
589,DFS,Downeast Flying Service (1995 - 2002),Downeast Flying Service   
590,DH,Atlantic Coast Airlines (2002 - 2004),Atlantic Coast Airlines   
591,DH,Discovery Airways Inc. (1990 - 1990),Discovery Airways Inc.   
592,DH,Independence Air (2004 - 2005),Independence Air   
593,DHL,DHL Airlines Inc. (1960 - 2002),DHL Airlines Inc.   
594,DHQ,DHL Aero Expresso (1996 - ),DHL Aero Expresso   
595,DIA,Drummond Island Air (1990 - 2002),Drummond Island Air   
596,DIC,Dickman Aviation Services (1960 - 2002),Dickman Aviation Services   
597,DIR,Northern Star (1981 - 2002),Northern Star   
598,DL,Delta Air Lines Inc. (1960 - ),Delta Air Lines Inc.   
599,DM,Maersk Air I/S (1981 - 1989),Maersk Air IS   
600,DO,Compania Dominicana De Avia (1981 - 1994),Compania Dominicana De Avia   
601,DOL,Dolphin Airways Inc. (1981 - 2002),Dolphin Airways Inc.   
602,DOQ,Aerolineas Dominicanas S A (1981 - 1989),Aerolineas Dominicanas S A   
603,DPA,Desert Pacific Airways (1960 - 2002),Desert Pacific Airways   
604,DPI,Desert Pacific Airlines Inc. (1960 - 2002),Desert Pacific Airlines Inc.   
605,DQQ,Caribwest Airways Ltd. (1981 - 1989),Caribwest Airways Ltd.   
606,DRQ,Apa International Air S.A. (1983 - 1990),Apa International Air S.A.   
607,DSA,Desert Sun Airlines (1982 - 2002),Desert Sun Airlines   
608,DST,Desert Airlines (1960 - 2002),Desert Airlines   
609,DUL,Dulles Express (1991 - 2002),Dulles Express   
610,DUZ,Summit Airlines Inc. (1981 - 1986),Summit Airlines Inc.   
611,DVO,Devoe Airlines (1981 - 2002),Devoe Airlines   
612,DWN,Dawn Air (1991 - 2002),Dawn Air   
613,DXA,Dolphin Express (1994 - 2002),Dolphin Express   
614,DY,Norwegian Air Shuttle ASA (2013 - ),Norwegian Air Shuttle ASA   
615,E0,"EOS Airlines, Inc. (2005 - 2008)","EOS Airlines, Inc.   "
616,E7,Estafeta Carga Aereas (2002 - ),Estafeta Carga Aereas   
617,E72,European Aviation Air Charter (2002 - ),European Aviation Air Charter   
618,E8,USAfrica Airways Inc. (1994 - 1995),USAfrica Airways Inc.   
619,E9,Boston-Maine Airways (2003 - 2008),BostonMaine Airways   
620,EA,Eastern Air Lines Inc. (1960 - 1991),Eastern Air Lines Inc.   
621,EAI,Executive Aviation Inc. (1960 - 2002),Executive Aviation Inc.   
622,EAQ,"Executive Airlines, SL (2006 - )","Executive Airlines, SL   "
623,EAS,Eastern Caribbean Airways (1960 - 2002),Eastern Caribbean Airways   
624,EAT,Eastman Airways Inc. (1983 - 2002),Eastman Airways Inc.   
625,EBQ,Execaire Aviation Ltd. (1981 - 1989),Execaire Aviation Ltd.   
626,ECA,Eagle Airlines (1960 - 1991),Eagle Airlines   
627,ECI,Eastern Carolina Aviation (1960 - 2002),Eastern Carolina Aviation   
628,ECL,Eclipse Airlines (1993 - 1995),Eclipse Airlines   
629,ECQ,Trans American Charter (1993 - 1995),Trans American Charter   
630,ECR,East Coast Airways (1987 - 2002),East Coast Airways   
631,ED,Andes (1981 - 1997),Andes   
632,EDE,Ede Aire (1960 - 2002),Ede Aire   
633,EE,Eastern Airlines Group Inc. (2015 - ),Eastern Airlines Group Inc.   
634,EET,Exec Express II (1988 - 1999),Exec Express II   
635,EEX,Exec Express (1985 - 2002),Exec Express   
636,EEZ,Eagle Aviation Inc. (1981 - 1986),Eagle Aviation Inc.   
637,EFA,Executive Four Winds (1960 - 2002),Executive Four Winds   
638,EFQ,Trans Europ. Airways France (1991 - 1992),Trans Europ. Airways France   
639,EGA,Eagle Airline (1985 - 1996),Eagle Airline   
640,EGC,Eagle Canyon Airlines (1995 - 2001),Eagle Canyon Airlines   
641,EGC,Eagle Canyon Airlines d/b/a Scenic Airlines (2002 - 2002),Eagle Canyon Airlines dba Scenic Airlines   
642,EGJ,Eagle Jet Charter (1996 - 2002),Eagle Jet Charter   
643,EGL,Eagle Commuter Airlines Inc. (1960 - 2002),Eagle Commuter Airlines Inc.   
644,EH,Saeta Airlines (1988 - 2002),Saeta Airlines   
645,EHA,East Hampton Aire Inc. (1960 - 2002),East Hampton Aire Inc.   
646,EI,Aer Lingus Plc (1982 - ),Aer Lingus Plc   
647,EIA,East. Indiana Aviation Sale (1960 - 2002),East. Indiana Aviation Sale   
648,EJQ,Aeroejecutivos C.A. (1990 - 1995),Aeroejecutivos C.A.   
649,EK,Emirates (2004 - ),Emirates   
650,EKA,Air Pacific Inc. (1960 - 2002),Air Pacific Inc.   
651,ELL,Ellis Air Taxi Inc. (1984 - ),Ellis Air Taxi Inc.   
652,EM,Empire Airlines Inc. (1993 - ),Empire Airlines Inc.   
653,EMA,Emerald Airlines (1960 - 1991),Emerald Airlines   
654,EME,Metro Express (1984 - 2002),Metro Express   
655,EMP,Empire Airlines Inc. (1960 - 2002),Empire Airlines Inc.   
656,ENT,Enterprise Airlines Inc. (1985 - 2002),Enterprise Airlines Inc.   
657,EOQ,Aeroservicios Ecuatorianos (1982 - 1997),Aeroservicios Ecuatorianos   
658,EP,All Star Airlines Inc. (1983 - 1985),All Star Airlines Inc.   
659,EPA,Empire Airlines Inc. (1984 - 1992),Empire Airlines Inc.   
660,EQ,Tame Linea Aerea del Ecuador Tme EP (2013 - ),Tame Linea Aerea del Ecuador Tme EP   
661,ER,Astar Air Cargo Inc. (2003 - 2010),Astar Air Cargo Inc.   
662,ER,"Astar USA, LLC (2011 - 2012)","Astar USA, LLC   "
663,ER,DHL Airways (1992 - 2003),DHL Airways   
664,ERA,Era Aviation (1983 - 2003),Era Aviation   
665,ERI,Erie Airways Inc. (1960 - 2002),Erie Airways Inc.   
666,ERO,Empire Aero Service (1960 - 2002),Empire Aero Service   
667,ERQ,Aero Trades (Western) Ltd. (1981 - 1989),Aero Trades Western Ltd.   
668,ESQ,Seagreen Air Transport (1981 - 2001),Seagreen Air Transport   
669,ET,Ethiopian Airlines (1998 - ),Ethiopian Airlines   
670,EU,Empresa Ecuatoriana De Avia (1981 - 1993),Empresa Ecuatoriana De Avia   
671,EU,Ecuatoriana De Aviacion (1996 - 2000),Ecuatoriana De Aviacion   
672,EUQ,Air Atlanta Europe (2004 - 2006),Air Atlanta Europe   
673,EV,ExpressJet Airlines Inc. (2012 - ),ExpressJet Airlines Inc.   
674,EVA,Evanston Aviation (1960 - 2002),Evanston Aviation   
675,EVQ,Aeroejecutivo S.A. (1990 - 1997),Aeroejecutivo S.A.   
676,EW,Eurowings GmbH (2016 - ),Eurowings GmbH   
677,EWA,Rio Grande Air (1999 - 2004),Rio Grande Air   
678,EXA,Columbia Pacific Airlines (1960 - 2002),Columbia Pacific Airlines   
679,EXC,Hapag-Lloyd Executive GmbH (2010 - 2014),HapagLloyd Executive GmbH   
680,EXC,Executive Charter (1983 - 1986),Executive Charter   
681,EXP,Express Airlines II (1993 - 2002),Express Airlines II   
682,EXQ,Export Air Del Peru S.A. (1993 - 1998),Export Air Del Peru S.A.   
683,EXR,Executive Transport (1986 - 2002),Executive Transport   
684,EXT,Executive Air Charter (1985 - 1990),Executive Air Charter   
685,EY,Etihad Airways (2006 - ),Etihad Airways   
686,EZ,Evergreen International Inc. (1979 - 2013),Evergreen International Inc.   
687,F2,Omega Air Holdings d/b/a Focus Air (2005 - 2008),Omega Air Holdings dba Focus Air   
688,F8,Freedom Airlines d/b/a HP Expr (2002 - 2010),Freedom Airlines dba HP Expr   
689,F9,Frontier Airlines Inc. (1994 - ),Frontier Airlines Inc.   
690,FAA,Falwell Aviation Inc. (1981 - 1986),Falwell Aviation Inc.   
691,FAC,Falcon Airways Inc. (1981 - 1986),Falcon Airways Inc.   
692,FAQ,Fast Air Carrier Ltd. (1981 - 1989),Fast Air Carrier Ltd.   
693,FAR,Federal Armored Service Inc. (1960 - 2002),Federal Armored Service Inc.   
694,FB,Translift Airways Limited (1992 - 1994),Translift Airways Limited   
695,FBI,Young Flying Service (1960 - 2002),Young Flying Service   
696,FC,Fast Colombia SAS d/b/a Viva Colombia (2015 - ),Fast Colombia SAS dba Viva Colombia   
697,FCA,Southern Airlines Inc. (1960 - 2002),Southern Airlines Inc.   
698,FCQ,Falcon Air Express (1996 - 2015),Falcon Air Express   
699,FD,Great American Airways (1980 - 1986),Great American Airways   
700,FD,Air Puerto Rico Airlines (1986 - 1987),Air Puerto Rico Airlines   
701,FDA,Florida Airlines Inc. (1960 - 2002),Florida Airlines Inc.   
702,FDM,Freedom Airlines Inc. (1960 - 2002),Freedom Airlines Inc.   
703,FDQ,Great American Airways (1986 - 1997),Great American Airways   
704,FE,Primaris Airlines Inc. (2003 - 2008),Primaris Airlines Inc.   
705,FED,Federal Express Corporation (1981 - 1985),Federal Express Corporation   
706,FF,Tower Air Inc. (1983 - 2000),Tower Air Inc.   
707,FFQ,Five Star Airlines (1985 - 1989),Five Star Airlines   
708,FFS,Frontier Flying Service (1981 - 2003),Frontier Flying Service   
709,FGS,Flagship Airlines Inc. (1991 - 1997),Flagship Airlines Inc.   
710,FH,Frontier Horizon Inc. (1984 - 1985),Frontier Horizon Inc.   
711,FI,Icelandair (1981 - ),Icelandair   
712,FJ,Air Pacific Ltd. (1981 - 1989),Air Pacific Ltd.   
713,FJ,Air Pacific Ltd. (1994 - ),Air Pacific Ltd.   
714,FL,AirTran Airways Corporation (1994 - 2014),AirTran Airways Corporation   
715,FL,Frontier Airlines Inc. (1960 - 1986),Frontier Airlines Inc.   
716,FLA,Florida Air (1992 - 2002),Florida Air   
717,FLM,Flamenco Airways Inc. (1960 - 2002),Flamenco Airways Inc.   
718,FLR,Flirite Inc. (1985 - 1986),Flirite Inc.   
719,FM,Federal Express Corporation (1986 - 1996),Federal Express Corporation   
720,FNQ,Fine Airlines Inc. (1992 - 2000),Fine Airlines Inc.   
721,FOR,Ford-Aire Inc. (1960 - 2002),FordAire Inc.   
722,FOS,Foster Aviation (1960 - 2002),Foster Aviation   
723,FP,TAG Aviation S.A. (2008 - ),TAG Aviation S.A.   
724,FQ,Air Aruba (1990 - 2000),Air Aruba   
725,FRA,Freedom Air (1960 - 2014),Freedom Air   
726,FRS,Four Star Aviation (1993 - 2002),Four Star Aviation   
727,FRT,Frontier Commuter (1984 - 2002),Frontier Commuter   
728,FRW,Farwest Airlines (2000 - 2002),Farwest Airlines   
729,FS,Serv De Trans Aereos Fuegui (1995 - 2001),Serv De Trans Aereos Fuegui   
730,FSA,F.S. Air Service (1992 - 2004),F.S. Air Service   
731,FT,Flying Tiger Line Inc. (1960 - 1989),Flying Tiger Line Inc.   
732,FTI,Southern Airways (1978 - 1979),Southern Airways   
733,FVA,Skycraft Inc. (1960 - 2002),Skycraft Inc.   
734,FW,Skybus Inc. (1985 - 1986),Skybus Inc.   
735,FWA,Far West Airlines (1960 - 2002),Far West Airlines   
736,FX,Federal Express Corporation (1996 - ),Federal Express Corporation   
737,FYB,Flying Boat (1991 - 2002),Flying Boat   
738,G3,Aerochago S.A. (1993 - 2000),Aerochago S.A.   
739,G3,VRG Linhas Aereas S A (2012 - ),VRG Linhas Aereas S A   
740,G4,Allegiant Air (2000 - ),Allegiant Air   
741,G7,GoJet Airlines LLC d/b/a United Express (2005 - ),GoJet Airlines LLC dba United Express   
742,G9,Grant Aviation (2003 - 2005),Grant Aviation   
743,GA,P.T. Garuda Indonesian Arwy (1985 - 1998),P.T. Garuda Indonesian Arwy   
744,GAL,Galena Air Service (1986 - 1989),Galena Air Service   
745,GAQ,Galaxy Airlines Inc. (1983 - 1987),Galaxy Airlines Inc.   
746,GAS,General Aviation Inc. (1960 - 2002),General Aviation Inc.   
747,GAT,Gulf Air Taxi (1990 - 2001),Gulf Air Taxi   
748,GAV,Gromer Aviation Inc. (1960 - 2002),Gromer Aviation Inc.   
