,CARRIER,CARRIER_NAME,CNAME
1508,STL,Westair Airlines Inc. (1960 - 1988),Westair Airlines Inc.   
1509,STQ,Skycraft Air Transport Inc. (1981 - 1989),Skycraft Air Transport Inc.   
1510,STR,Star Aviation Corporation (1960 - 2002),Star Aviation Corporation   
1511,STW,Stateswest Airlines (1986 - 1996),Stateswest Airlines   
1512,STZ,Air America Inc. (1960 - 1985),Air America Inc.   
1513,SU,Aeroflot Russian Airlines (1981 - ),Aeroflot Russian Airlines   
1514,SUA,Sunshine Airlines (1995 - 2002),Sunshine Airlines   
1515,SUI,Sun International Airways (1960 - 2002),Sun International Airways   
1516,SUT,Sunbelt (1960 - 2002),Sunbelt   
1517,SUX,Sunair Express LLC (2001 - 2002),Sunair Express LLC   
1518,SV,Saudi Arabian Airlines Corp (1982 - ),Saudi Arabian Airlines Corp   
1519,SVA,Servant Air Inc. (1998 - 2003),Servant Air Inc.   
1520,SVL,Sun Valley Airlines (1960 - 2002),Sun Valley Airlines   
1521,SVW,"Global Jet Luxembourg, Sa (2007 - )","Global Jet Luxembourg, Sa   "
1522,SWA,Sunwest Airlines (1960 - 2002),Sunwest Airlines   
1523,SWT,Swift Aire Lines Inc. (1960 - 1985),Swift Aire Lines Inc.   
1524,SX,Aeroejecutivo S.A. (1997 - 2000),Aeroejecutivo S.A.   
1525,SX,"Skybus Airlines, Inc. (2007 - 2008)","Skybus Airlines, Inc.   "
1526,SXP,Sierra Expressway (1995 - 2002),Sierra Expressway   
1527,SXQ,Serv De Trans Aereos Fuegui (1987 - 1995),Serv De Trans Aereos Fuegui   
1528,SY,Sun Country Airlines d/b/a MN Airlines (2005 - ),Sun Country Airlines dba MN Airlines   
1529,SY,Sun Country Airlines (1999 - 2004),Sun Country Airlines   
1530,SYB,Skybus Express Airlines (1991 - 2002),Skybus Express Airlines   
1531,SYM,Skymaster (1989 - 2002),Skymaster   
1532,SYQ,Sun Country Airlines (1983 - 1999),Sun Country Airlines   
1533,SZQ,Aerolineas El Salvador S A (1981 - 1993),Aerolineas El Salvador S A   
1534,T3,Tristar Airlines Inc. (1995 - 1997),Tristar Airlines Inc.   
1535,T9,TransMeridian Airlines (1995 - 2005),TransMeridian Airlines   
1536,TA,Taca International Airlines (1981 - ),Taca International Airlines   
1537,TAC,Air Colorado (1960 - 2002),Air Colorado   
1538,TAF,Tri Air Freight (1988 - 2002),Tri Air Freight   
1539,TAL,Tejas Airlines Inc. (1960 - 2002),Tejas Airlines Inc.   
1540,TAN,Tanana Air Service (1984 - 2003),Tanana Air Service   
1541,TAQ,Taquan Air Service (1988 - 1999),Taquan Air Service   
1542,TAS,Yosemite Airlines Inc. (1960 - 2002),Yosemite Airlines Inc.   
1543,TAT,Talarik Creek Air Taxi (1985 - 1986),Talarik Creek Air Taxi   
1544,TB,Trump Shuttle (1989 - 1992),Trump Shuttle   
1545,TB,TUI Airlines Belgium N.V. d/b/a Jetairfly (2011 - ),TUI Airlines Belgium N.V. dba Jetairfly   
1546,TB,USAir Shuttle (1992 - 2000),USAir Shuttle   
1547,TBQ,Triair Bermuda Flt Operations (2003 - ),Triair Bermuda Flt Operations   
1548,TCA,Trans Catalina Airlines (1960 - 2002),Trans Catalina Airlines   
1549,TCE,Oceanair Line (1960 - 2002),Oceanair Line   
1550,TCI,Trans California Airlines (1960 - 2002),Trans California Airlines   
1551,TCL,Trans-Central Airlines Inc. (1960 - 2002),TransCentral Airlines Inc.   
1552,TCO,Trans-Colorado Airlines (1960 - 2002),TransColorado Airlines   
1553,TCQ,Express.Net Airlines (2001 - 2007),Express.Net Airlines   
1554,TCQ,Trans Continental Airlines (1994 - 2000),Trans Continental Airlines   
1555,TDQ,Transcarga (1981 - 1989),Transcarga   
1556,TDQ,Venexcargo (1990 - 1994),Venexcargo   
1557,TE,Air New Zealand (1981 - 1990),Air New Zealand   
1558,TEN,Tennessee Airways Inc. (1960 - 2002),Tennessee Airways Inc.   
1559,TEQ,Transp. Aereos Ejecutivos (1990 - 1993),Transp. Aereos Ejecutivos   
1560,TER,Terre Haute Air Commuter (1960 - 2002),Terre Haute Air Commuter   
